Contest ID, Bug ID,,, Bug Description,link,,
23, L-08,,,Open TODOs in ERC1155Action,https://github.com/code-423n4/2021-08-notional-findings/issues/63,,
23, L-09,,,Router calls to nTokenAction.nTokenTransferApprove fail,https://github.com/code-423n4/2021-08-notional-findings/issues/64,,
23, L-10,,,Unclear decimals value in cTokenAggregator,https://github.com/code-423n4/2021-08-notional-findings/issues/70,,
23, L-11,,,Unclear decimals value in cTokenAggregator,https://github.com/code-423n4/2021-08-notional-findings/issues/70,,
23, L-12,,,NoteERC20 missing initial ownership event ,https://github.com/code-423n4/2021-08-notional-findings/issues/74,,
23, L-13,,,TokenHandler.transfer wrong branch order,https://github.com/code-423n4/2021-08-notional-findings/issues/78,,
23, L-14,,,DateTime.isValidMarketMaturity bounds should be tighter ,https://github.com/code-423n4/2021-08-notional-findings/issues/81,,
23, L-15,,,DateTime.getMarketIndex bounds should be tighter,https://github.com/code-423n4/2021-08-notional-findings/issues/82,,
23, L-16,,,Double check for "birthday" collision,https://github.com/code-423n4/2021-08-notional-findings/issues/4,,
23, L-17,,,notionalCallback returns no value,https://github.com/code-423n4/2021-08-notional-findings/issues/46,,
23, L-18,,,NotionalV1ToNotionalV2 should reject ETH transfers from others than WETH ,https://github.com/code-423n4/2021-08-notional-findings/issues/48,,
23, L-19,,,No checks on target variable,https://github.com/code-423n4/2021-08-notional-findings/issues/29,,
23, L-20,,,Some TradingActions do not have frontrunning protections,https://github.com/code-423n4/2021-08-notional-findings/issues/30,,
23, L-21,,,NoteERC20.getPriorVotes includes current unclaimed incentives,https://github.com/code-423n4/2021-08-notional-findings/issues/76,,
24, L-01,,,Initialization function can be front-run with malicious values ,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/39,,
24, L-02,,,Missing zero-address checks,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/41,,
24, L-03,,,onlyOwner for approveMaxAmount() is risky,onlyOwner for approveMaxAmount() is risky · Issue #44 · code-423n4/2021-07-pooltogether-findings · GitHub,,
24, L-04,,,Overly permissive access control lets anyone approve max amount,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/46,,
24, L-05,,,SwappableYieldSource._requireYieldSource is not a guarantee that you are interacting with a valid yield source ,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/11,,
24, L-06,,,No input validation for while setting up value for immutable state variables,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/15,,
24, L-07,,,_requireYieldSource does not check return value,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/60,,
24, L-08,,,_requireYieldSource not always called,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/7,,
24, L-09,,,Variable name or isInvalidYieldSource is confusion,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/8,,
24, L-10,,,SwappableYieldSource.sol: Wrong reporting amount in FundsTransferred() event,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/28,,
24, L-11,,,SwappableYieldSource: setYieldSource() should check no deposited tokens in current yield source,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/31,,
24, L-12,,,Retrieve stuck tokens from MStableYieldSource,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/73,,
24, L-13,,,Validation,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/74,,
24, L-14,,,Some tokens do not have decimals.,https://github.com/code-423n4/2021-07-pooltogether-findings/issues/28,,
25, L-01,,,updateTime of get is 0 ,https://github.com/code-423n4/2021-08-yield-findings/issues/7,,
25, L-02,,,Different definition of beforeMaturity() and afterMaturity() modifier in different file,https://github.com/code-423n4/2021-08-yield-findings/issues/18,,
25, L-03,,,Missing input validation to check that end > start,https://github.com/code-423n4/2021-08-yield-findings/issues/49,,
25, L-04,,,Upgrading solc compiler version may help with bug fixes?,https://github.com/code-423n4/2021-08-yield-findings/issues/50,,
25, L-05,,,Missing emits for events,https://github.com/code-423n4/2021-08-yield-findings/issues/51,,
25, L-06,,,Unused cauldron_ parameter ,https://github.com/code-423n4/2021-08-yield-findings/issues/54,,
25, L-07,,,Missing check for contract existence,https://github.com/code-423n4/2021-08-yield-findings/issues/55,,
25, L-08,,,_peek does not work for tokens with > 18 decimals,https://github.com/code-423n4/2021-08-yield-findings/issues/23,,
25, L-09,,,ERC20Rewards claiming can fail if no reward tokens,ERC20Rewards claiming can fail if no reward tokens · Issue #30 · code-423n4/2021-08-yield-findings · GitHub,,
25, L-10,,,improve safety of role constants,https://github.com/code-423n4/2021-08-yield-findings/issues/9,,
25, L-11,,,EmergencyBrake.sol: Permissions cannot be re-planned after termination,https://github.com/code-423n4/2021-08-yield-findings/issues/21,,
25, L-12,,,ERC20Rewards.sol: Have a method to calculate the latest rewardsPerToken accumulated value,https://github.com/code-423n4/2021-08-yield-findings/issues/57,,
26, L-01,,,Can't retrieve all data with getMarketInfo,https://github.com/code-423n4/2021-08-realitycards-findings/issues/14,,
26, L-02,,,Return value of erc20.approve is unchecked,https://github.com/code-423n4/2021-08-realitycards-findings/issues/64,,
26, L-03,,,Direct usage of ecrecover allows signature malleability,https://github.com/code-423n4/2021-08-realitycards-findings/issues/63,,
26, L-04,,,Return Value is Not Validated,https://github.com/code-423n4/2021-08-realitycards-findings/issues/24,,
26, L-05,,,External Call Made Before State Change ,https://github.com/code-423n4/2021-08-realitycards-findings/issues/23,,
26, L-06,,,Test Coverage Improvements ,https://github.com/code-423n4/2021-08-realitycards-findings/issues/15,,
26, L-07,,,RCFactory: Solve stack too deep for getMarketInfo(),https://github.com/code-423n4/2021-08-realitycards-findings/issues/41,,
26, L-08,,,RCFactory: Do multiplication instead of division for length checks,https://github.com/code-423n4/2021-08-realitycards-findings/issues/39,,
26, L-09,,,safer implementation of tokenExists,https://github.com/code-423n4/2021-08-realitycards-findings/issues/8,,
26, L-10,,,uint32 conversion doesn't work as expected.,https://github.com/code-423n4/2021-08-realitycards-findings/issues/28,,
26, L-11,,,msgSender() or _msgSender(),https://github.com/code-423n4/2021-08-realitycards-findings/issues/22,,
26, L-12,,,rentAllCards: don't have to pay for card you already own ,https://github.com/code-423n4/2021-08-realitycards-findings/issues/21,,
26, L-13,,,getMostRecentMarket can revert,https://github.com/code-423n4/2021-08-realitycards-findings/issues/13,,
26, L-14,,,updateTokenURI doesn't call setTokenURI,https://github.com/code-423n4/2021-08-realitycards-findings/issues/12,,
26, L-15,,,"RCTreasury: AccessControl diagram contains Leaderboard, but it has no role",https://github.com/code-423n4/2021-08-realitycards-findings/issues/44,,
26, L-16,,,RCLeaderboard.market storage variable is not used,https://github.com/code-423n4/2021-08-realitycards-findings/issues/55,,
26, L-17,,,Markets can start in the past,https://github.com/code-423n4/2021-08-realitycards-findings/issues/54,,
26, L-18,,,add zero address validation in constructor,https://github.com/code-423n4/2021-08-realitycards-findings/issues/61,,
26, L-19,,,use of array without checking its length,https://github.com/code-423n4/2021-08-realitycards-findings/issues/60,,
26, L-20,,,No check for the referenceContractAddress in createMarket(),https://github.com/code-423n4/2021-08-realitycards-findings/issues/50,,
26, L-21,,,no time restriction in setMarketTimeRestrictions(),https://github.com/code-423n4/2021-08-realitycards-findings/issues/49,,
26, L-22,,,transferCard should be done after treasury is updated.,https://github.com/code-423n4/2021-08-realitycards-findings/issues/35,,
26, L-23,,,Inaccurate Comment,https://github.com/code-423n4/2021-08-realitycards-findings/issues/16,,
26, L-24,,,RCLeaderboard: Erroneous comment ,https://github.com/code-423n4/2021-08-realitycards-findings/issues/43,,
26, L-25,,,Use _safeTransfer when transferring NFTs,https://github.com/code-423n4/2021-08-realitycards-findings/issues/65,,
27, L-01,,,Direct usage of ecrecover allows signature malleability,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/61,,
27, L-02,,,Why nonces are not incrementing by 1 ?,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/32,,
27, L-03,,,logic calls can steal tokens,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/25,,
27, L-04,,,Large ValSets potentially freezes Gravity.sol,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/9,,
27, L-05,,,ERC20s that block transfer to particular addresses enable DoS/Censorship,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/8,,
27, L-06,,,Downcasting Can Freeze The Chain,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/19,,
27, L-07,,,Validations of parameters,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/31,,
27, L-08,,,SafeMath library is not always used in Gravity,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/60,,
27, L-09,,,Possible miner incentive for chain reorgs if ETHBlockDelay is too small ,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/12,,
27, L-10,,,cumulativePower check should be inclusive,https://github.com/code-423n4/2021-08-gravitybridge-findings/issues/26,,
29, L-01,,,[L-01] unchecked use of optional function "decimals" of erc20 standards Submitted by hack3r-0m,[L-01] unchecked use of optional function "decimals" of erc20 standards?Submitted by hack3r-0m,,
29, L-02,,,[L-02] ConstantProductPool lacks zero check for maserDeployer Submitted by hack3r-0m,[L-02]?ConstantProductPool?lacks zero check for maserDeployer?Submitted by hack3r-0m,,
29, L-03,,,[L-03] HybridPool.sol lacks zero check for maserDeployer Submitted by hack3r-0m,[L-03] HybridPool.sol lacks zero check for maserDeployer?Submitted by hack3r-0m,,
29, L-04,,,"[L-04] TridentERC20.sol Possible replay attacks on permit function in case of a future chain split Submitted by nikitastupin, also found by 0xRajeev, 0xsanson, broccoli, and t11s","[L-04]?TridentERC20.sol?Possible replay attacks on?permit?function in case of a future chain split?Submitted by nikitastupin, also found by 0xRajeev, 0xsanson, broccoli, and t11s",,
29, L-05,,,[L-05] Reset cachedPool ? Submitted by gpersoon,[L-05] Reset cachedPool ??Submitted by gpersoon,,
29, L-06,,,[L-06] Missing validation of recipient argument could indefinitely lock owner role Submitted by defsec,[L-06] Missing validation of recipient argument could indefinitely lock owner role?Submitted by defsec,,
29, L-07,,,[L-07] # Hybrid Pool underflow when a < 100 Submitted by broccoli,[L-07] # Hybrid Pool underflow when a < 100?Submitted by broccoli,,
29, L-08,,,[L-08] HybridPool: SwapCallback should be done regardless of data.length Submitted by GreyArt,[L-08]?HybridPool: SwapCallback should be done regardless of data.length?Submitted by GreyArt,,
29, L-09,,,[L-09] Missing invalid token check against pool address Submitted by 0xRajeev,[L-09] Missing invalid token check against pool address?Submitted by 0xRajeev,,
29, L-10,,,[L-10] barFee handled incorrectly in flashSwap (or swap) Submitted by 0xRajeev,[L-10]?barFee?handled incorrectly in?flashSwap?(or swap)?Submitted by 0xRajeev,,
29, L-11,,,[L-11] Strict bound in reserve check of Hybrid Pool Submitted by 0xRajeev,[L-11] Strict bound in reserve check of Hybrid Pool?Submitted by 0xRajeev,,
29, L-12,,,"[L-12] Unlocked Solidity compiler pragma is risky Submitted by 0xRajeev, also found by broccoli, hrkrshnn, and JMukesh","[L-12] Unlocked Solidity compiler pragma is risky?Submitted by 0xRajeev, also found by broccoli, hrkrshnn, and JMukesh",,
29, L-13,,,[L-13] Missing zero-address checks Submitted by 0xRajeev,[L-13] Missing zero-address checks?Submitted by 0xRajeev,,
29, L-14,,,[L-14] Missing timelock for critical contract setters of privileged roles Submitted by 0xRajeev,[L-14] Missing timelock for critical contract setters of privileged roles?Submitted by 0xRajeev,,
29, L-15,,,[L-15] Unconditional setting of boolean/address values is risky Submitted by 0xRajeev,[L-15] Unconditional setting of boolean/address values is risky?Submitted by 0xRajeev,,
29, L-16,,,[L-16] Timelock between new owner transfer+claim will reduce risk Submitted by 0xRajeev,[L-16] Timelock between new owner transfer+claim will reduce risk?Submitted by 0xRajeev,,
29, L-17,,,[L-17] Allowing direct single-step ownership transfer even as an option is risky Submitted by 0xRajeev,[L-17] Allowing direct single-step ownership transfer even as an option is risky?Submitted by 0xRajeev,,
29, L-18,,,[L-18] Missing contract existence check may cause silent failures of token transfers Submitted by 0xRajeev,[L-18] Missing contract existence check may cause silent failures of token transfers?Submitted by 0xRajeev,,
29, L-19,,,[L-19] IndexPool should check that tokens are supported Submitted by cmichel,[L-19]?IndexPool?should check that tokens are supported?Submitted by cmichel,,
29, L-20,,,[L-20] Several low-level calls don't check the success return value Submitted by cmichel,[L-20] Several low-level calls don't check the success return value?Submitted by cmichel,,
29, L-21,,,[L-21] ConstantProductPool bar fee computation seems wrong Submitted by cmichel,[L-21]?ConstantProductPool?bar fee computation seems wrong?Submitted by cmichel,,
29, L-22,,,[L-22] ConstantProductPool mint liquidity computation should include fees Submitted by cmichel,[L-22]?ConstantProductPool?mint liquidity computation should include fees?Submitted by cmichel,,
29, L-23,,,[L-23] HybridPool's flashSwap does not always call callback Submitted by cmichel,[L-23]?HybridPool's?flashSwap?does not always call callback?Submitted by cmichel,,
29, L-24,,,[L-24] The functions refundETH and unwrapWETH is generalized-front-runnable Submitted by hrkrshnn,[L-24] The functions?refundETH?and?unwrapWETH?is generalized-front-runnable?Submitted by hrkrshnn,,
29, L-25,,,[L-25] Lack of checks for address and amount in TridentERC20._mint Submitted by GalloDaSballo,[L-25] Lack of checks for address and amount in?TridentERC20._mint?Submitted by GalloDaSballo,,
29, L-26,,,[L-26] Lack of checks for address and amount in TridentERC20._mint Submitted by GalloDaSballo,[L-26] Lack of checks for address and amount in?TridentERC20._mint?Submitted by GalloDaSballo,,
29, L-27,,,[L-27] Lack of address validation in MasterDeployer.setMigrator Submitted by GalloDaSballo,[L-27] Lack of address validation in?MasterDeployer.setMigrator?Submitted by GalloDaSballo,,
29, L-28,,,[L-28] Consider using solidity 0.8.8,[L-28] Consider using solidity 0.8.8,,
29, L-29,,,[L-29] lack of input validation in Transfer() and TransferFrom() Submitted by JMukesh,[L-29] lack of input validation in?Transfer()?and?TransferFrom()?Submitted by JMukesh,,
29, L-30,,,[L-30] _powApprox: unbounded loop and meaning Submitted by 0xsanson,[L-30]?_powApprox: unbounded loop and meaning?Submitted by 0xsanson,,
29, L-31,,,[L-31] HybridPool's wrong amount to balance conversion Submitted by 0xsanson,[L-31]?HybridPool's wrong amount to balance conversion?Submitted by 0xsanson,,
29, L-32,,,[L-32] _computeLiquidityFromAdjustedBalances order of operations can be improved Submitted by 0xsanson,[L-32]?_computeLiquidityFromAdjustedBalances?order of operations can be improved?Submitted by 0xsanson,,
29, L-33,,,[L-33] Wrong initialization of blockTimestampLast in ConstantProductPool Submitted by broccoli,[L-33] Wrong initialization of?blockTimestampLast?in?ConstantProductPool?Submitted by broccoli,,
29, L-34,,,[L-34] Oracle Initialization,[L-34] Oracle Initialization,,
29, L-35,,,[L-35] Docs disagrees with index pool code,[L-35] Docs disagrees with index pool code,,
29, L-36,,,[L-36] Division by zero in _computeLiquidityFromAdjustedBalances of HybridPool Submitted by broccoli,[L-36] Division by zero in?_computeLiquidityFromAdjustedBalances?of?HybridPool?Submitted by broccoli,,
29, L-37,,,[L-37] _getY and _getYD math operations can be reordered Submitted by 0xsanson,[L-37]?_getY?and?_getYD?math operations can be reordered?Submitted by 0xsanson,,
29, L-38,,,[L-38] Division and division in _getY of HybridPool Submitted by broccoli,[L-38] Division and division in?_getY?of?HybridPool?Submitted by broccoli,,
29, L-39,,,[L-39] Incorrect comparison in the _updateReserves function of HybridPool Submitted by broccoli,[L-39] Incorrect comparison in the?_updateReserves?function of?HybridPool?Submitted by broccoli,,
3, L-01,,,Events not indexed,https://github.com/code-423n4/2021-04-marginswap-findings/issues/27,,
3, L-02,,,getReserves does not check if tokens match,https://github.com/code-423n4/2021-04-marginswap-findings/issues/30,,
3, L-03,,,Role 9 in Roles.sol,https://github.com/code-423n4/2021-04-marginswap-findings/issues/10,,
3, L-04,,,Multisig wallets can't be used for liquidate,https://github.com/code-423n4/2021-04-marginswap-findings/issues/13,,
3, L-05,,,Different solidity version in UniswapStyleLib.sol,https://github.com/code-423n4/2021-04-marginswap-findings/issues/67,,
3, L-06,,,sortTokens can be simplified,https://github.com/code-423n4/2021-04-marginswap-findings/issues/70,,
3, L-07,,,Duplicated Code In Admin.viewCurrentMaintenanceStaker() ,https://github.com/code-423n4/2021-04-marginswap-findings/issues/69,,
3, L-08,,,Magic Numbers used in Admin._stake() When Constant Defined Above Can Be Used Instead,https://github.com/code-423n4/2021-04-marginswap-findings/issues/71,,
3, L-09,,,function initTranche should check that the share parameter is > 0,https://github.com/code-423n4/2021-04-marginswap-findings/issues/35,,
3, L-10,,,runtime > 1 hours error message discrepancy,https://github.com/code-423n4/2021-04-marginswap-findings/issues/36,,
3, L-11,,,setLeveragePercent should check that new _leveragePercent >= 100 ,https://github.com/code-423n4/2021-04-marginswap-findings/issues/41,,
3, L-12,,,An erroneous constructor's argument could block the withdrawReward,https://github.com/code-423n4/2021-04-marginswap-findings/issues/33,,
3, L-13,,,Not emitting event for important state changes,https://github.com/code-423n4/2021-04-marginswap-findings/issues/61,,
30, L-01,,,"[L-01] Missing support/documentation for use of deflationary tokens in protocol Submitted by 0xRajeev, also found by itsmeSTYJ","[L-01] Missing support/documentation for use of deflationary tokens in protocol?Submitted by 0xRajeev, also found by itsmeSTYJ",,
30, L-02,,,[L-02] getMostPremium() can be wrong Submitted by 0xsanson,[L-02]?getMostPremium()?can be wrong?Submitted by 0xsanson,,
30, L-03,,,[L-03] getMostPremium() does not necessarily return the best asset to trade for.,[L-03] getMostPremium() does not necessarily return the best asset to trade for.,,
30, L-04,,,[L-04] Be aware that transactions can be frontrun to exactly the estimated amount.,[L-04] Be aware that transactions can be frontrun to exactly the estimated amount.,,
30, L-05,,,[L-05] Missing zero-address checks Submitted by 0xRajeev,[L-05] Missing zero-address checks?Submitted by 0xRajeev,,
30, L-06,,,[L-06] Decimals of upgradeable tokens may change Submitted by pauliax,[L-06] Decimals of upgradeable tokens may change?Submitted by pauliax,,
30, L-07,,,[L-07] Missing sanity/threshold check on totalDepositCap may cause DoS Submitted by 0xRajeev,[L-07] Missing sanity/threshold check on totalDepositCap may cause DoS?Submitted by 0xRajeev,,
30, L-08,,,[L-08] No use of notHalted in LegacyController functions Submitted by 0xRajeev,[L-08] No use of notHalted in LegacyController functions?Submitted by 0xRajeev,,
30, L-09,,,[L-09] onlyEnabledConverter modifier is not used in all functions Submitted by 0xRajeev,[L-09] onlyEnabledConverter modifier is not used in all functions?Submitted by 0xRajeev,,
30, L-10,,,"[L-10] safeApprove may revert for non-zero to non-zero approvals Submitted by 0xRajeev, also found by 0xsanson","[L-10] safeApprove may revert for non-zero to non-zero approvals?Submitted by 0xRajeev, also found by 0xsanson",,
30, L-11,,,[L-11] Max approvals are risky if contract is malicious/compromised Submitted by 0xRajeev,[L-11] Max approvals are risky if contract is malicious/compromised?Submitted by 0xRajeev,,
30, L-12,,,[L-12] cap isn't enforced Submitted by 0xsanson,[L-12]?cap?isn't enforced?Submitted by 0xsanson,,
30, L-13,,,[L-13] Unclear totalDepositCap Submitted by 0xsanson,[L-13] Unclear?totalDepositCap?Submitted by 0xsanson,,
30, L-14,,,[L-14] Missing check in reorderStrategies Submitted by 0xsanson,[L-14] Missing check in?reorderStrategies?Submitted by 0xsanson,,
30, L-15,,,[L-15] maxStrategies can be lower than existing strategies Submitted by 0xsanson,[L-15]?maxStrategies?can be lower than existing strategies?Submitted by 0xsanson,,
30, L-16,,,"[L-16] Harvesting and Funding Is Not Checked When the Contract Is Halted Submitted by defsec, also found by 0xsanson","[L-16] Harvesting and Funding Is Not Checked When the Contract Is Halted?Submitted by defsec, also found by 0xsanson",,
30, L-17,,,[L-17] Unbounded iterations over strategies or tokens Submitted by cmichel,[L-17] Unbounded iterations over strategies or tokens?Submitted by cmichel,,
30, L-18,,,[L-18] Withdraw event uses wrong parameter Submitted by cmichel,[L-18] Withdraw event uses wrong parameter?Submitted by cmichel,,
30, L-19,,,[L-19] Vault: Zero Withdrawal Fee If Protocol Halts Submitted by hickuphh3,[L-19] Vault: Zero Withdrawal Fee If Protocol Halts?Submitted by hickuphh3,,
30, L-20,,,[L-20] The sqrt function can overflow execute invalid operation Submitted by hrkrshnn,[L-20] The?sqrt?function can overflow execute invalid operation?Submitted by hrkrshnn,,
30, L-21,,,[L-21] missing safety check in addStrategy Submitted by jonah1005,[L-21] missing safety check in addStrategy?Submitted by jonah1005,,
30, L-22,,,"[L-22] vault cap's at totalSupply would behave unexpectedly Submitted by jonah1005, also found by pauliax","[L-22] vault cap's at totalSupply would behave unexpectedly?Submitted by jonah1005, also found by pauliax",,
30, L-23,,,[L-23] Removed tokens can't be withdrawn from vault Submitted by hickuphh3,[L-23] Removed tokens can't be withdrawn from vault?Submitted by hickuphh3,,
30, L-24,,,[L-24] No slippage checks can lead to sandwich attacks Submitted by cmichel,[L-24] No slippage checks can lead to sandwich attacks?Submitted by cmichel,,
30, L-25,,,[L-25] hijack the vault by pumping vault price. Submitted by jonah1005,[L-25] hijack the vault by pumping vault price.?Submitted by jonah1005,,
31, L-01,,,add zero address validation in constructor and initializer,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/61,,
31, L-02,,,CvxLocker.setStakeLimits missing validation,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/50,,
31, L-03,,,CvxLocker.setApprovals can be called by anyone,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/52,,
31, L-04,,,CvxLocker.findEpochId stops after 128 iterations,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/53,,
31, L-05,,,Unbounded iteration in CvxLocker.updateReward,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/54,,
31, L-06,,,Missing slippage/min-return check in veCVXStrategy,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/57,,
31, L-07,,,Missing slippage/min-return check in StrategyCvxHelper,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/56,,
31, L-08,,,Missing slippage/min-return check in BaseStrategy,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/55,,
31, L-09,,,StrategyCvxHelper: safeApprove instead of approve,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/33,,
31, L-10,,,Swap conversion is susceptible to MEV flashbots,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/34,,
31, L-11,,,veCVXStrategy: Sub-optimal trading path,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/38,,
31, L-12,,,Functions not returning declared values,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/18,,
31, L-13,,,Frontrunning distribute functions,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/22,,
31, L-14,,,Faulty return value in veCVXStrategy::reinvest(),https://github.com/code-423n4/2021-09-bvecvx-findings/issues/12,,
31, L-15,,,setKeepReward function is unfinished ,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/1,,
31, L-16,,,Don't include unused functions,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/49,,
31, L-17,,,Reentrancy on distributeOther(),https://github.com/code-423n4/2021-09-bvecvx-findings/issues/9,,
31, L-18,,,ManualRebalance will be frontrun for most of the tokens.,https://github.com/code-423n4/2021-09-bvecvx-findings/issues/5,,
32, L-01,,,[L-01] Missing SafeMath Submitted by 0xRajeev.,[L-01] Missing SafeMath?Submitted by 0xRajeev.,,
32, L-02,,,"[L-02] Constraint of minRate < lowRate can be broken Submitted by 0xRajeev, also found by GalloDaSballo and itsmeSTYJ.","[L-02] Constraint of minRate < lowRate can be broken?Submitted by 0xRajeev, also found by GalloDaSballo and itsmeSTYJ.",,
32, L-03,,,"[L-03] Missing threshold check for highRate Submitted by 0xRajeev, also found by itsmeSTYJ.","[L-03] Missing threshold check for highRate?Submitted by 0xRajeev, also found by itsmeSTYJ.",,
32, L-04,,,[L-04] Uniswap oracle assumes PairToken <> WETH liquidity Submitted by cmichel.,[L-04] Uniswap oracle assumes PairToken <> WETH liquidity?Submitted by cmichel.,,
32, L-05,,,[L-05] Simple interest formula is used Submitted by cmichel.,[L-05] Simple interest formula is used?Submitted by cmichel.,,
32, L-06,,,"[L-06] Reduce risk of rounding error in _timeRateToBlockRate Submitted by gpersoon, also found by pauliax.","[L-06] Reduce risk of rounding error in _timeRateToBlockRate?Submitted by gpersoon, also found by pauliax.",,
32, L-07,,,[L-07] Race condition on ERC20 approval Submitted by itsmeSTYJ.,[L-07] Race condition on ERC20 approval?Submitted by itsmeSTYJ.,,
32, L-08,,,[L-08] Oracle response assumes 8 decimals Submitted by pauliax.,[L-08] Oracle response assumes 8 decimals?Submitted by pauliax.,,
32, L-09,,,[L-09] Oracle should call latestRoundData instead.,[L-09] Oracle should call latestRoundData instead.,,
34, L-01,,,"[L-01] PrizeSplit.sol#distribute() The value of the event parameter is wrong Submitted by WatchPug, also found by leastwood and cmichel.","[L-01]?PrizeSplit.sol#distribute()?The value of the event parameter is wrong?Submitted by WatchPug, also found by leastwood and cmichel.",,
34, L-02,,,[L-02] Usage of deprecated safeApprove Submitted by cmichel.,[L-02] Usage of deprecated?safeApprove?Submitted by cmichel.,,
34, L-03,,,[L-03] Should safeApprove(0) first Submitted by cmichel.,[L-03] Should?safeApprove(0)?first?Submitted by cmichel.,,
34, L-04,,,[L-04] Reserve does not correctly implement RingBuffer Submitted by cmichel.,[L-04] Reserve does not correctly implement RingBuffer?Submitted by cmichel.,,
34, L-05,,,[L-05] PrizePool uses ERC20 for ERC721 Submitted by cmichel.,[L-05]?PrizePool?uses?ERC20?for?ERC721?Submitted by cmichel.,,
34, L-06,,,[L-06] PrizeSplit uint8 limits Submitted by gpersoon.,[L-06] PrizeSplit uint8 limits?Submitted by gpersoon.,,
34, L-07,,,[L-07] Inaccurate Revert Message Submitted by leastwood.,[L-07] Inaccurate Revert Message?Submitted by leastwood.,,
34, L-08,,,[L-08] calculateNextBeaconPeriodStartTime casts timestamp to uint64 Submitted by pauliax.,[L-08] calculateNextBeaconPeriodStartTime casts timestamp to uint64?Submitted by pauliax.,,
34, L-09,,,[L-09] staticcall may return true for an invalid _yieldSource Submitted by pauliax.,[L-09] staticcall may return true for an invalid _yieldSource?Submitted by pauliax.,,
35, L-01,,,[L-01] addIncentive may need more inputs checked Submitted by 0xsanson,[L-01]?addIncentive?may need more inputs checked?Submitted by 0xsanson,,
35, L-02,,,"[L-02] Unlocked Pragma Statements Submitted by anon, also found by broccoli","[L-02] Unlocked Pragma Statements?Submitted by anon, also found by broccoli",,
35, L-03,,,[L-03] Sanity check on the lower and upper ticks Submitted by broccoli,[L-03] Sanity check on the lower and upper ticks?Submitted by broccoli,,
35, L-04,,,[L-04] Incorrect comparison in the _updatePosition of ConcentratedLiquidityPool Submitted by broccoli,[L-04] Incorrect comparison in the?_updatePosition?of?ConcentratedLiquidityPool?Submitted by broccoli,,
35, L-05,,,[L-05] Timestamp underflow error in swap function of ConcentratedLiquidityPool Submitted by broccoli,[L-05] Timestamp underflow error in?swap?function of?ConcentratedLiquidityPool?Submitted by broccoli,,
35, L-06,,,[L-06] Boundaries for timestamp values Submitted by pauliax,[L-06] Boundaries for timestamp values?Submitted by pauliax,,
35, L-07,,,[L-07] Handle of deflationary tokens Submitted by pauliax,[L-07] Handle of deflationary tokens?Submitted by pauliax,,
35, L-08,,,[L-08] Inclusive conditions Submitted by pauliax,[L-08] Inclusive conditions?Submitted by pauliax,,
35, L-09,,,[L-09] TridentNFT signature malleability Submitted by cmichel,[L-09]?TridentNFT?signature malleability?Submitted by cmichel,,
35, L-10,,,[L-10] TridentNFT.safeTransferFrom now EIP-721 compliant Submitted by cmichel,[L-10]?TridentNFT.safeTransferFrom?now EIP-721 compliant?Submitted by cmichel,,
35, L-11,,,[L-11] TridentNFT._mint can mint to zero address Submitted by cmichel,[L-11]?TridentNFT._mint?can mint to zero address?Submitted by cmichel,,
35, L-12,,,[L-12] TridentNFT.permitAll prviliges discrepancy for operator Submitted by cmichel,[L-12]?TridentNFT.permitAll?prviliges discrepancy for operator?Submitted by cmichel,,
